x,y,color,delta,value
50,120,#00d0e5,2.5,0.0025642236169078118,
50,122.5,#0089e1,2.5,0.002699138674072876,
50,125,#0089e1,2.5,0.002849476670355105,
50,127.5,#0089e1,2.5,0.003038158885993304,
50,130,#0089e1,2.5,0.003256887096036862,
50,132.5,#0089e1,2.5,0.0034469968571216427,
50,135,#0089e1,2.5,0.0035414280304288336,
50,137.5,#0089e1,2.5,0.0035210638487785176,
50,140,#0089e1,2.5,0.003417092954585397,
50,142.5,#0089e1,2.5,0.003275514520206965,
50,145,#0089e1,2.5,0.0031347939802074108,
50,147.5,#0089e1,2.5,0.0030166677384416227,
50,150,#0089e1,2.5,0.002915098763562602,
50,152.5,#0089e1,2.5,0.002798248627830989,
50,155,#00d0e5,2.5,0.0026314579225127314,
50,157.5,#00d0e5,2.5,0.0023992178377230007,
50,160,#00d0e5,2.5,0.002109806119270204,
50,162.5,#00d0e5,2.5,0.001791459944597573,
50,165,#00d0e5,2.5,0.0014846430279023357,
50,167.5,#00d0e5,2.5,0.0012216516100928896,
50,170,#00d0e5,2.5,0.0010055220687844378,
52.5,7.5,#00d0e5,2.5,0.0015021049744806992,
52.5,10,#00d0e5,2.5,0.0024364453530757633,
52.5,12.5,#0089e1,2.5,0.0031537205441990054,
52.5,15,#0089e1,2.5,0.0032451906789111476,
52.5,17.5,#0089e1,2.5,0.002680977335236638,
52.5,20,#00d0e5,2.5,0.0018386375530103625,
52.5,22.5,#00d0e5,2.5,0.0011347432644058324,
52.5,35,#00d0e5,2.5,0.0010176863736194035,
52.5,37.5,#00d0e5,2.5,0.0013194309790836066,
52.5,40,#00d0e5,2.5,0.0015330236974365299,
52.5,42.5,#00d0e5,2.5,0.001580432661498463,
52.5,45,#00d0e5,2.5,0.0015121416205788481,
52.5,47.5,#00d0e5,2.5,0.0014734140434872354,
52.5,50,#00d0e5,2.5,0.0015683221786724087,
52.5,52.5,#00d0e5,2.5,0.0017688279361019242,
52.5,55,#00d0e5,2.5,0.0019629312911848464,
52.5,57.5,#00d0e5,2.5,0.0020739458902020516,
52.5,60,#00d0e5,2.5,0.0021118622801586853,
52.5,62.5,#00d0e5,2.5,0.0021186373922077078,
52.5,65,#00d0e5,2.5,0.00210531682826544,
52.5,67.5,#00d0e5,2.5,0.0020596663821614465,
52.5,70,#00d0e5,2.5,0.001981015555928911,
52.5,72.5,#00d0e5,2.5,0.0018770650762592106,
