x,y,color,delta,value,
50.0102,-7.4684,#f7f4f9,0.05,0.000003432837617536603,
50.0102,-7.4184,#f7f4f9,0.05,0.0000041345860428227885,
50.0102,-7.3684,#f7f4f9,0.05,0.000005523017402581347,
50.0102,-7.3184000000000005,#f7f4f9,0.05,0.000005993668432579708,
50.0102,-7.268400000000001,#f7f4f9,0.05,0.000007084784385547346,
50.0102,-7.218400000000001,#f7f4f9,0.05,0.000007334871943508245,
50.0102,-7.168400000000001,#f7f4f9,0.05,0.000008240836314376269,
50.0102,-7.118400000000001,#f7f4f9,0.05,0.000008339984083248171,
50.0102,-7.068400000000001,#f7f4f9,0.05,0.000007404400212574389,
50.0102,-7.0184000000000015,#f7f4f9,0.05,0.000007077093358412506,
50.0102,-6.968400000000002,#f7f4f9,0.05,0.000006229081962610694,
50.0102,-6.918400000000002,#f7f4f9,0.05,0.000005055323869352052,
50.0102,-6.868400000000002,#f7f4f9,0.05,0.0000030409701090640006,
50.0102,-6.818400000000002,#f7f4f9,0.05,0.0000017070439884019087,
50.0102,-6.768400000000002,#f7f4f9,0.05,0.0000011912288663848742,
50.0102,-6.718400000000003,#f7f4f9,0.05,0,
50.0102,-6.668400000000003,#f7f4f9,0.05,7.649362460703375e-7,
50.0102,-6.618400000000003,#f7f4f9,0.05,0.000005330447226324196,
50.0102,-6.568400000000003,#f7f4f9,0.05,0.00001119339505653168,
50.0102,-6.518400000000003,#f7f4f9,0.05,0.000019401678222795555,
50.0102,-6.4684000000000035,#f7f4f9,0.05,0.000030223061557667507,
50.0102,-6.418400000000004,#f7f4f9,0.05,0.00004201886122600248,
50.0102,-6.368400000000004,#f7f4f9,0.05,0.00008170736597861286,
50.0102,-6.318400000000004,#f7f4f9,0.05,0.00011334409653726065,
50.0102,-6.268400000000004,#f7f4f9,0.05,0.00014211442100467813,
50.0102,-6.218400000000004,#f7f4f9,0.05,0.0001686037310392593,
50.0102,-6.1684000000000045,#f7f4f9,0.05,0.00018643476221885303,
50.0102,-6.118400000000005,#f7f4f9,0.05,0.00018835137726145717,
50.0102,-6.068400000000005,#f7f4f9,0.05,0.0001794988486981559,
50.0102,-6.018400000000005,#f7f4f9,0.05,0.00016182057840164065,
50.0102,-5.968400000000005,#f7f4f9,0.05,0.00014114595774263007,
50.0102,-5.918400000000005,#f7f4f9,0.05,0.00012332283971657742,
50.0102,-5.868400000000006,#f7f4f9,0.05,0.00011183649854379063,
50.0102,-5.818400000000006,#f7f4f9,0.05,0.00014773238605200856,
50.0102,-5.768400000000006,#f7f4f9,0.05,0.0001989478490140008,
50.0102,-5.718400000000006,#f7f4f9,0.05,0.00026597370789207387,
50.0102,-5.668400000000006,#f7f4f9,0.05,0.00035010310419124,
50.0102,-5.6184000000000065,#f7f4f9,0.05,0.0004153107184893466,
50.0102,-5.568400000000007,#f7f4f9,0.05,0.00046668260517886124,
50.0102,-5.518400000000007,#f7f4f9,0.05,0.0005278199642938265,
50.0102,-5.468400000000007,#f7f4f9,0.05,0.0005743359465628607,
50.0102,-5.418400000000007,#f7f4f9,0.05,0.0006036271845803389,
50.0102,-5.368400000000007,#f7f4f9,0.05,0.0006731584153449585,
50.0102,-5.318400000000008,#f7f4f9,0.05,0.0007677110271449624,
50.0102,-5.268400000000008,#f7f4f9,0.05,0.0008102508094113034,
50.0102,-5.218400000000008,#f7f4f9,0.05,0.0008998108865411862,
50.0102,-5.168400000000008,#f7f4f9,0.05,0.000911831413760289,
50.0102,-5.118400000000008,#f7f4f9,0.05,0.0008809737470662684,
50.0102,-5.0684000000000085,#f7f4f9,0.05,0.0007745386525467222,
50.0102,-5.018400000000009,#f7f4f9,0.05,0.000634853527405965,
50.0102,-4.968400000000009,#f7f4f9,0.05,0.000482356341298989,
50.0102,-4.918400000000009,#f7f4f9,0.05,0.00034489078069906273,
50.0102,-4.868400000000009,#f7f4f9,0.05,0.00020334536452990223,
50.0102,-4.818400000000009,#f7f4f9,0.05,0.00011159439400162283,
50.0102,-4.7684000000000095,#f7f4f9,0.05,0.00009957471077364998,
50.0102,-4.71840000000001,#f7f4f9,0.05,0.00009608702238849137,
50.0102,-4.66840000000001,#f7f4f9,0.05,0.00008658512190021197,
50.0102,-4.61840000000001,#f7f4f9,0.05,0.00007554103729492545,
50.0102,-4.56840000000001,#f7f4f9,0.05,0.00007218783438851129,
50.0102,-4.51840000000001,#f7f4f9,0.05,0.0000723260310862309,
50.0102,-4.468400000000011,#f7f4f9,0.05,0.00007606642572272189,
50.0102,-4.418400000000011,#f7f4f9,0.05,0.00008080617888554639,
50.0102,-4.368400000000011,#f7f4f9,0.05,0.00008767793726936858,
50.0102,-4.318400000000011,#f7f4f9,0.05,0.00009445722729516311,
50.0102,-4.268400000000011,#f7f4f9,0.05,0.00010365058538613538,
50.0102,-4.2184000000000115,#f7f4f9,0.05,0.00011012788968981944,
50.0102,-4.168400000000012,#f7f4f9,0.05,0.00011573843949269045,
50.0102,-4.118400000000012,#f7f4f9,0.05,0.00011653409998090576,
50.0102,-4.068400000000012,#f7f4f9,0.05,0.00011532946444744431,
50.0102,-4.018400000000012,#f7f4f9,0.05,0.0001203405410270393,
50.0102,-3.9684000000000124,#f7f4f9,0.05,0.00012067760820359233,
50.0102,-3.9184000000000125,#f7f4f9,0.05,0.00012539559894760724,
50.0102,-3.8684000000000127,#f7f4f9,0.05,0.000124955498884347,
50.0102,-3.818400000000013,#f7f4f9,0.05,0.00012069640445820981,
50.0102,-3.768400000000013,#f7f4f9,0.05,0.00011527633362099412,
50.0102,-3.7184000000000133,#f7f4f9,0.05,0.00010967680752724424,
50.0102,-3.6684000000000134,#f7f4f9,0.05,0.00010535339639311272,
50.0102,-3.6184000000000136,#f7f4f9,0.05,0.0000999803667155798,
50.0102,-3.568400000000014,#f7f4f9,0.05,0.00009394325469034061,
50.0102,-3.518400000000014,#f7f4f9,0.05,0.0000927135367247667,
50.0102,-3.468400000000014,#f7f4f9,0.05,0.00008764993310296687,
50.0102,-3.4184000000000143,#f7f4f9,0.05,0.00008370435578259734,
50.0102,-3.3684000000000145,#f7f4f9,0.05,0.00008036533989305651,
50.0102,-3.3184000000000147,#f7f4f9,0.05,0.0000756141668036935,
50.0102,-3.268400000000015,#f7f4f9,0.05,0.00007300275527755277,
50.0102,-3.218400000000015,#f7f4f9,0.05,0.00007583207584634804,
50.0102,-3.168400000000015,#f7f4f9,0.05,0.00007803771801620221,
50.0102,-3.1184000000000154,#f7f4f9,0.05,0.00008685524916883362,
50.0102,-3.0684000000000156,#f7f4f9,0.05,0.00009754344898234364,
50.0102,-3.0184000000000157,#f7f4f9,0.05,0.00010674823702949167,
