x,y,color,delta,value,
24.3471,132.98000000000033,#f7f4f9,0.09,0.000005338621728333003,
24.3471,133.07000000000033,#f7f4f9,0.09,0.0000053716781043326975,
24.3471,133.16000000000034,#f7f4f9,0.09,0.000005256868028595067,
24.3471,133.25000000000034,#f7f4f9,0.09,0,
24.3471,133.34000000000034,#f7f4f9,0.09,0,
24.3471,133.43000000000035,#f7f4f9,0.09,0,
24.3471,133.52000000000035,#f7f4f9,0.09,0,
24.3471,133.61000000000035,#f7f4f9,0.09,0,
24.3471,133.70000000000036,#f7f4f9,0.09,0,
24.3471,133.79000000000036,#f7f4f9,0.09,0,
24.3471,133.88000000000036,#f7f4f9,0.09,0,
24.3471,133.97000000000037,#f7f4f9,0.09,0,
24.3471,134.06000000000037,#f7f4f9,0.09,0,
24.3471,134.15000000000038,#f7f4f9,0.09,0,
24.3471,134.24000000000038,#f7f4f9,0.09,0,
24.3471,134.33000000000038,#f7f4f9,0.09,0,
24.3471,134.42000000000039,#f7f4f9,0.09,0,
24.3471,134.5100000000004,#f7f4f9,0.09,0.000005489397629007957,
24.3471,134.6000000000004,#f7f4f9,0.09,0.000005966448512400313,
24.3471,134.6900000000004,#f7f4f9,0.09,0.000006307298260141089,
24.3471,134.7800000000004,#f7f4f9,0.09,0.000006484957049386317,
24.3471,134.8700000000004,#f7f4f9,0.09,0.000006484957049385548,
24.3471,134.9600000000004,#f7f4f9,0.09,0.000006307298260138849,
24.3471,135.0500000000004,#f7f4f9,0.09,0.000005966448512396779,
24.3471,135.1400000000004,#f7f4f9,0.09,0.000005489397629003407,
24.3471,135.23000000000042,#f7f4f9,0.09,0,
24.3471,135.32000000000042,#f7f4f9,0.09,0,
24.3471,135.41000000000042,#f7f4f9,0.09,0,
24.3471,135.50000000000043,#f7f4f9,0.09,0,
24.3471,135.59000000000043,#f7f4f9,0.09,0,
24.3471,135.68000000000043,#f7f4f9,0.09,0,
24.3471,135.77000000000044,#f7f4f9,0.09,0,
24.3471,135.86000000000044,#f7f4f9,0.09,0,
24.3471,135.95000000000044,#f7f4f9,0.09,0,
24.3471,136.04000000000045,#f7f4f9,0.09,0,
24.3471,136.13000000000045,#f7f4f9,0.09,0,
24.3471,136.22000000000045,#f7f4f9,0.09,0,
24.3471,136.31000000000046,#f7f4f9,0.09,0,
24.3471,136.40000000000046,#f7f4f9,0.09,0,
24.3471,136.49000000000046,#f7f4f9,0.09,0,
24.3471,136.58000000000047,#f7f4f9,0.09,0,
24.3471,136.67000000000047,#f7f4f9,0.09,0,
24.3471,136.76000000000047,#f7f4f9,0.09,0,
24.3471,136.85000000000048,#f7f4f9,0.09,0,
24.3471,136.94000000000048,#f7f4f9,0.09,0,
24.3471,137.03000000000048,#f7f4f9,0.09,0,
24.3471,137.1200000000005,#f7f4f9,0.09,0,
24.3471,137.2100000000005,#f7f4f9,0.09,0,
24.3471,137.3000000000005,#f7f4f9,0.09,0.00000550311941956779,
24.3471,137.3900000000005,#f7f4f9,0.09,0.000005746120751390266,
24.3471,137.4800000000005,#f7f4f9,0.09,0.000005835483205992727,
24.3471,137.5700000000005,#f7f4f9,0.09,0.0000057638830888935965,
24.3471,137.6600000000005,#f7f4f9,0.09,0.00000553719435387604,
24.3471,137.7500000000005,#f7f4f9,0.09,0,
24.3471,137.84000000000052,#f7f4f9,0.09,0,
24.3471,137.93000000000052,#f7f4f9,0.09,0,
24.3471,138.02000000000052,#f7f4f9,0.09,0,
24.3471,138.11000000000053,#f7f4f9,0.09,0.000005373592796618318,
24.3471,138.20000000000053,#f7f4f9,0.09,0.000005507925706474014,
24.3471,138.29000000000053,#f7f4f9,0.09,0.000005490952143019066,
24.3471,138.38000000000054,#f7f4f9,0.09,0.000005324066947931128,
24.3471,138.47000000000054,#f7f4f9,0.09,0.000005657361626489205,
24.3471,138.56000000000054,#f7f4f9,0.09,0.000006073562247433073,
24.3471,138.65000000000055,#f7f4f9,0.09,0.000011712548056015823,
24.3471,138.74000000000055,#f7f4f9,0.09,0.000012314063162143246,
24.3471,138.83000000000055,#f7f4f9,0.09,0.000012609038642636138,
24.3471,138.92000000000056,#f7f4f9,0.09,0.0000125746062381451,
24.3471,139.01000000000056,#f7f4f9,0.09,0.000017922180721297718,
24.3471,139.10000000000056,#f7f4f9,0.09,0.000012474286405678373,
24.3471,139.19000000000057,#f7f4f9,0.09,0.000017944485180555596,
24.3471,139.28000000000057,#f7f4f9,0.09,0.000017907435037283266,
24.3471,139.37000000000057,#f7f4f9,0.09,0.000012384577801122332,
24.3471,139.46000000000058,#f7f4f9,0.09,0.000012135130080519176,
24.3471,139.55000000000058,#f7f4f9,0.09,0.00001157115259058682,
24.3471,139.64000000000058,#f7f4f9,0.09,0.000005612677373442478,
24.3471,139.7300000000006,#f7f4f9,0.09,0.00000529818445929117,
24.3471,139.8200000000006,#f7f4f9,0.09,0.000005812186300289933,
24.3471,139.9100000000006,#f7f4f9,0.09,0.000006201378551979723,
24.3471,140.0000000000006,#f7f4f9,0.09,0.0000064353655854234125,
24.3471,140.0900000000006,#f7f4f9,0.09,0.000006495229021650774,
24.3471,140.1800000000006,#f7f4f9,0.09,0.000011887277775551145,
24.3471,140.2700000000006,#f7f4f9,0.09,0.000012059306897080012,
24.3471,140.3600000000006,#f7f4f9,0.09,0.00001194636662980532,
24.3471,140.4500000000006,#f7f4f9,0.09,0.00001208486501169698,
24.3471,140.54000000000062,#f7f4f9,0.09,0.000023217756934031284,
24.3471,140.63000000000062,#f7f4f9,0.09,0.00002397518137641506,
24.3471,140.72000000000062,#f7f4f9,0.09,0.00002952959513095609,
24.3471,140.81000000000063,#f7f4f9,0.09,0.00002908357895266816,
24.3471,140.90000000000063,#f7f4f9,0.09,0.000028516461553997756,
24.3471,140.99000000000063,#f7f4f9,0.09,0.00002792133162896314,
24.3471,141.08000000000064,#f7f4f9,0.09,0.000022955125335384103,
24.3471,141.17000000000064,#f7f4f9,0.09,0.000028460943257638208,
24.3471,141.26000000000064,#f7f4f9,0.09,0.000028618076056532687,
24.3471,141.35000000000065,#f7f4f9,0.09,0.00003441210064149434,
24.3471,141.44000000000065,#f7f4f9,0.09,0.00003004830671279551,
24.3471,141.53000000000065,#f7f4f9,0.09,0.000030165275469133327,
24.3471,141.62000000000066,#f7f4f9,0.09,0.00002949694504887611,
24.3471,141.71000000000066,#f7f4f9,0.09,0.000017903296368206937,
24.3471,141.80000000000067,#f7f4f9,0.09,0.000028843587706565707,
