x,y,color,delta,value
36.3,-83.54254099999906,#f7f4f9,0.04,0,
36.3,-83.50254099999906,#f7f4f9,0.04,0,
36.3,-83.46254099999905,#f7f4f9,0.04,0,
36.3,-83.42254099999904,#f7f4f9,0.04,0,
36.3,-83.38254099999904,#f7f4f9,0.04,0,
36.3,-83.34254099999903,#f7f4f9,0.04,0,
36.3,-83.30254099999902,#f7f4f9,0.04,0,
36.3,-83.26254099999902,#f7f4f9,0.04,0,
36.3,-83.22254099999901,#f7f4f9,0.04,0,
36.3,-83.182540999999,#f7f4f9,0.04,0,
36.3,-83.142540999999,#f7f4f9,0.04,0,
36.3,-83.102540999999,#f7f4f9,0.04,0,
36.3,-83.06254099999899,#f7f4f9,0.04,0,
36.3,-83.02254099999898,#f7f4f9,0.04,0,
36.3,-82.98254099999897,#f7f4f9,0.04,0,
36.3,-82.94254099999897,#f7f4f9,0.04,0,
36.3,-82.90254099999896,#f7f4f9,0.04,0,
36.3,-82.86254099999896,#f7f4f9,0.04,0,
36.3,-82.82254099999895,#f7f4f9,0.04,0,
36.3,-82.78254099999894,#f7f4f9,0.04,0,
36.3,-82.74254099999894,#f7f4f9,0.04,0,
36.3,-82.70254099999893,#f7f4f9,0.04,0,
36.3,-82.66254099999892,#f7f4f9,0.04,0,
36.3,-82.62254099999892,#f7f4f9,0.04,0,
36.3,-82.58254099999891,#f7f4f9,0.04,0,
36.3,-82.5425409999989,#f7f4f9,0.04,0,
36.3,-82.5025409999989,#f7f4f9,0.04,0,
36.3,-82.4625409999989,#f7f4f9,0.04,0,
36.3,-82.42254099999889,#f7f4f9,0.04,0,
36.3,-82.38254099999888,#f7f4f9,0.04,0,
36.3,-82.34254099999887,#f7f4f9,0.04,0,
36.3,-82.30254099999887,#f7f4f9,0.04,0,
36.3,-82.26254099999886,#f7f4f9,0.04,0,
36.3,-82.22254099999886,#f7f4f9,0.04,0,
36.3,-82.18254099999885,#f7f4f9,0.04,0,
36.3,-82.14254099999884,#f7f4f9,0.04,0,
36.3,-82.10254099999884,#f7f4f9,0.04,0,
36.3,-82.06254099999883,#f7f4f9,0.04,0,
36.3,-82.02254099999882,#f7f4f9,0.04,0,
36.3,-81.98254099999882,#f7f4f9,0.04,0,
36.339999999999996,-89.582541,#f7f4f9,0.04,0.00003276712832963766,
36.339999999999996,-89.542541,#f7f4f9,0.04,0.0000466961945813803,
36.339999999999996,-89.502541,#f7f4f9,0.04,0.00005672000405169569,
36.339999999999996,-89.46254099999999,#f7f4f9,0.04,0.00006278287697156741,
36.339999999999996,-89.42254099999998,#f7f4f9,0.04,0.00007246138229809715,
36.339999999999996,-89.38254099999997,#f7f4f9,0.04,0.0000869993243338888,
36.339999999999996,-89.34254099999997,#f7f4f9,0.04,0.00009672768320175846,
36.339999999999996,-89.30254099999996,#f7f4f9,0.04,0.0000993792349637296,
36.339999999999996,-89.26254099999996,#f7f4f9,0.04,0.00009333315021502482,
36.339999999999996,-89.22254099999995,#f7f4f9,0.04,0.00008160416920084768,
36.339999999999996,-89.18254099999994,#f7f4f9,0.04,0.00007126544474371332,
36.339999999999996,-89.14254099999994,#f7f4f9,0.04,0.00006581968334015368,
36.339999999999996,-89.10254099999993,#f7f4f9,0.04,0.00006478175472494838,
36.339999999999996,-89.06254099999992,#f7f4f9,0.04,0.0000700913707099732,
36.339999999999996,-89.02254099999992,#f7f4f9,0.04,0.00009261858198024422,
36.339999999999996,-88.98254099999991,#f7f4f9,0.04,0.00012636117732693492,
36.339999999999996,-88.9425409999999,#f7f4f9,0.04,0.00016591495856521423,
36.339999999999996,-88.9025409999999,#f7f4f9,0.04,0.0001835527764292166,
36.339999999999996,-88.8625409999999,#f7f4f9,0.04,0.0001617187962662423,
36.339999999999996,-88.82254099999989,#f7f4f9,0.04,0.0001142703024706214,
36.339999999999996,-88.78254099999988,#f7f4f9,0.04,0.0000704986948780455,
36.339999999999996,-88.74254099999987,#f7f4f9,0.04,0.00003997304277867654,
36.339999999999996,-88.70254099999987,#f7f4f9,0.04,0.000028618892146343356,
36.339999999999996,-88.66254099999986,#f7f4f9,0.04,0.00002582349676864021,
36.339999999999996,-88.62254099999986,#f7f4f9,0.04,0.000025979264592827306,
36.339999999999996,-88.58254099999985,#f7f4f9,0.04,0.000029150612876093927,
36.339999999999996,-88.54254099999984,#f7f4f9,0.04,0.000034317032263560235,
36.339999999999996,-88.50254099999984,#f7f4f9,0.04,0.00004164294566586427,
36.339999999999996,-88.46254099999983,#f7f4f9,0.04,0.00005116480958974523,
36.339999999999996,-88.42254099999982,#f7f4f9,0.04,0.0000678410815867876,
36.339999999999996,-88.38254099999982,#f7f4f9,0.04,0.00008980571089467127,
36.339999999999996,-88.34254099999981,#f7f4f9,0.04,0.00010691334335442043,
36.339999999999996,-88.3025409999998,#f7f4f9,0.04,0.00010521506870625358,
36.339999999999996,-88.2625409999998,#f7f4f9,0.04,0.00009174645836730696,
36.339999999999996,-88.2225409999998,#f7f4f9,0.04,0.00007963192742448531,
36.339999999999996,-88.18254099999979,#f7f4f9,0.04,0.00007792483231878001,
36.339999999999996,-88.14254099999978,#f7f4f9,0.04,0.00008658736505313738,
36.339999999999996,-88.10254099999977,#f7f4f9,0.04,0.00008572787845396399,
36.339999999999996,-88.06254099999977,#f7f4f9,0.04,0.00006729368688537209,
36.339999999999996,-88.02254099999976,#f7f4f9,0.04,0.000040065766231924606,
36.339999999999996,-87.98254099999976,#f7f4f9,0.04,0.000017719927078619874,
36.339999999999996,-87.94254099999975,#f7f4f9,0.04,0.000004658280444432152,
36.339999999999996,-87.90254099999974,#f7f4f9,0.04,5.881381055617043e-7,
36.339999999999996,-87.86254099999974,#f7f4f9,0.04,2.659133736393225e-7,
36.339999999999996,-87.82254099999973,#f7f4f9,0.04,0,
36.339999999999996,-87.78254099999972,#f7f4f9,0.04,0,
36.339999999999996,-87.74254099999972,#f7f4f9,0.04,0,
36.339999999999996,-87.70254099999971,#f7f4f9,0.04,0,
36.339999999999996,-87.6625409999997,#f7f4f9,0.04,0,
36.339999999999996,-87.6225409999997,#f7f4f9,0.04,0,
36.339999999999996,-87.5825409999997,#f7f4f9,0.04,0,
36.339999999999996,-87.54254099999969,#f7f4f9,0.04,0,
36.339999999999996,-87.50254099999968,#f7f4f9,0.04,0,
36.339999999999996,-87.46254099999967,#f7f4f9,0.04,0,
36.339999999999996,-87.42254099999967,#f7f4f9,0.04,0,
36.339999999999996,-87.38254099999966,#f7f4f9,0.04,0,
36.339999999999996,-87.34254099999966,#f7f4f9,0.04,0,
36.339999999999996,-87.30254099999965,#f7f4f9,0.04,0,
36.339999999999996,-87.26254099999964,#f7f4f9,0.04,0,
36.339999999999996,-87.22254099999964,#f7f4f9,0.04,0,
36.339999999999996,-87.18254099999963,#f7f4f9,0.04,0,
36.339999999999996,-87.14254099999962,#f7f4f9,0.04,0,
36.339999999999996,-87.10254099999962,#f7f4f9,0.04,0,
36.339999999999996,-87.06254099999961,#f7f4f9,0.04,0,
36.339999999999996,-87.0225409999996,#f7f4f9,0.04,0,
36.339999999999996,-86.9825409999996,#f7f4f9,0.04,0,
36.339999999999996,-86.9425409999996,#f7f4f9,0.04,0,
36.339999999999996,-86.90254099999959,#f7f4f9,0.04,0,
36.339999999999996,-86.86254099999958,#f7f4f9,0.04,0,
36.339999999999996,-86.82254099999957,#f7f4f9,0.04,0,
36.339999999999996,-86.78254099999957,#f7f4f9,0.04,0,
36.339999999999996,-86.74254099999956,#f7f4f9,0.04,0,
36.339999999999996,-86.70254099999956,#f7f4f9,0.04,0,
36.339999999999996,-86.66254099999955,#f7f4f9,0.04,0,
